run_number,step 1 HV,step 2 HV,scrapping,note,,,,
350,0,0,-1,,,,,
351,0,0,-1,,,,,
352,0,0,-1,,,,,
353,0,0,-1,,,,,
354,0,0,-1,,,,,
355,0,0,-1,,,,,
356,0,0,-1,,,,,
357,0,0,-1,,,,,
358,0,0,-1,,,,,
359,0,0,-1,,,,,
360,0,0,-1,,,,,
361,0,0,-1,,,,,
362,0,0,-1,,,,,
363,0,0,-1,,,,,
364,0,0,-1,,,,,
365,0,0,-1,,,,,
366,0,0,-1,,,,,
367,0,0,-1,,,,,
368,0,0,-1,,,,,
369,0,0,-1,,,,,
370,0,0,-1,,,,,
371,0,0,-1,,,,,
372,0,0,-1,,,,,
373,0,0,-1,,,,,
374,0,0,-1,,,,,
375,0,0,-1,,,,,
376,0,0,-1,,,,,
377,0,0,-1,,,,,
378,0,0,-1,,,,,
379,0,0,-1,,,,,
380,0,0,-1,,,,,
381,0,0,-1,,,,,
382,0,0,-1,,,,,
383,0,0,-1,,,,,
384,0,0,-1,,,,,
385,0,0,-1,,,,,
386,0,0,-1,,,,,
387,0,0,-1,,,,,
388,0,0,-1,,,,,
389,0,0,-1,,,,,
390,0,0,-1,,,,,
391,0,0,-1,,,,,
392,0,0,-1,,,,,
393,0,0,-1,,,,,
394,0,0,-1,,,,,
395,0,0,-1,,,,,
396,0,0,-1,,,,,
397,0,0,-1,,,,,
398,0,0,-1,,,,,
399,0,0,-1,,,,,
400,0,0,-1,,,,,
401,0,0,-1,,,,,
402,0,0,-1,,,,,
403,0,0,-1,,,,,
404,0,0,-1,,,,,
405,0,0,-1,,,,,
406,0,0,-1,,,,,
407,0,0,-1,,,,,
408,0,0,-1,,,,,
409,0,0,-1,,,,,
410,0,0,-1,,,,,
411,0,0,-1,,,,,
412,0,0,-1,,,,,
413,0,0,-1,,,,,
414,0,0,-1,,,,,
415,0,0,-1,,,,,
416,0,0,-1,,,,,
417,0,0,-1,,,,,
418,0,0,-1,,,,,
419,0,0,-1,,,,,
420,0,0,-1,,,,,
421,0,0,-1,,,,,
422,0,0,-1,,,,,
423,0,0,-1,,,,,
424,0,0,-1,,,,,
425,0,0,-1,,,,,
426,0,0,-1,,,,,
427,0,0,-1,,,,,
428,0,0,-1,,,,,
429,0,0,-1,,,,,
430,0,0,-1,,,,,
431,0,0,-1,,,,,
432,0,0,-1,,,,,
433,0,0,-1,,,,,
434,0,0,-1,,,,,
435,0,0,-1,,,,,
436,0,0,-1,,,,,
437,0,0,-1,,,,,
438,0,0,-1,,,,,
439,0,0,-1,,,,,
440,0,0,-1,,,,,
441,0,0,-1,,,,,
442,0,0,-1,,,,,
443,0,0,-1,,,,,
444,0,0,-1,,,,,
445,0,0,-1,,,,,
446,0,0,-1,,,,,
447,0,0,-1,,,,,
448,0,0,-1,,,,,
449,0,0,-1,,,,,
450,0,0,-1,,,,,
451,0,0,-1,,,,,
452,0,0,-1,,,,,
453,0,0,-1,,,,,
454,0,0,-1,,,,,
455,0,0,-1,,,,,
456,0,0,-1,,,,,
457,0,0,-1,,,,,
458,0,0,-1,,,,,
459,0,0,-1,,,,,
460,0,0,-1,,,,,
461,0,0,-1,,,,,
462,0,0,-1,,,,,
463,0,0,-1,,,,,
464,0,0,-1,,,,,
465,0,0,-1,,,,,
466,0,0,-1,,,,,
467,0,0,-1,,,,,
468,0,0,-1,,,,,
469,0,0,-1,,,,,
470,0,0,-1,,,,,
471,0,0,-1,,,,,
472,0,0,-1,,,,,
473,0,0,-1,,,,,
474,0,0,-1,,,,,
475,0,0,-1,,,,,
476,0,0,-1,,,,,
477,0,0,-1,,,,,
478,0,0,-1,,,,,
479,0,0,-1,,,,,
480,0,0,-1,,,,,
481,0,0,-1,,,,,
482,0,0,-1,,,,,
483,0,0,-1,,,,,
484,0,0,-1,,,,,
485,0,0,-1,,,,,
486,0,0,-1,,,,,
487,0,0,-1,,,,,
488,0,0,-1,,,,,
489,0,0,-1,,,,,
490,0,0,-1,,,,,
491,0,0,-1,,,,,
492,0,0,-1,,,,,
493,0,0,-1,,,,,
494,0,0,-1,,,,,
495,0,0,-1,,,,,
496,0,0,-1,,,,,
497,0,0,-1,,,,,
498,0,0,-1,,,,,
499,0,0,-1,,,,,
500,0,0,-1,,,,,
501,0,0,-1,,,,,
502,0,0,-1,,,,,
503,0,0,-1,,,,,
504,0,0,-1,,,,,
505,0,0,-1,,,,,
506,7,14,-1,elog7607 and elog7610,,,,
507,7,14,-1,,,,,
508,7,14,-1,,,,,
509,7,14,-1,,,,,
510,8,11,-1,elog7613,,,,
511,8,11,-1,,,,,
512,8,11,-1,,,,,
513,8,11,-1,,,,,
514,8,11,-1,,,,,
515,8,11,-1,,,,,
516,8,11,-1,,,,,
517,8,11,-1,,,,,
518,8,11,-1,,,,,
519,8,11,-1,,,,,
520,8,11,-1,,,,,
521,8,11,-1,,,,,
522,8,11,-1,,,,,
523,8,11,-1,,,,,
524,8,11,-1,,,,,
525,8,11,-1,,,,,
526,8,11,-1,,,,,
527,8,11,-1,,,,,
528,8,11,-1,,,,,
529,8,11,-1,,,,,
530,8,11,-1,,,,,
531,8,11,-1,,,,,
532,8,11,-1,,,,,
533,8,11,-1,,,,,
534,8,11,-1,,,,,
535,8,11,-1,,,,,
536,8,11,-1,,,,,
537,8,11,-1,,,,,
538,8,11,-1,,,,,
539,8,11,-1,,,,,
540,8,11,-1,,,,,
541,8,11,-1,,,,,
542,8,11,-1,,,,,
543,8,11,-1,,,,,
544,8,11,-1,,,,,
545,8,11,-1,,,,,
546,8,11,-1,,,,,
547,8,11,-1,elog7649,,,,
548,8,11,-1,,,,,
549,8,11,-1,,,,,
550,8,11,-1,,,,,
551,8,11,-1,,,,,
552,8,11,-1,,,,,
553,8,11,-1,,,,,
554,8,11,-1,,,,,
555,8,11,-1,,,,,
556,8,11,-1,,,,,
557,8,11,-1,,,,,
558,8,11,-1,,,,,
559,8,11,-1,,,,,
560,8,11,-1,,,,,
561,11,14,-1,runLog 561,,,,
562,11,14,-1,runLog 562,,,,
563,11,15,-1,runLog 563,,,,
564,11,15,-1,runLog 564,,,,
565,13,16,-1,runLog 565,,,,
566,14,17,-1,runLog 566,,,,
567,15,18,-1,runLog 567,,,,
568,9,11,-1,runLog 568,,,,
569,9,11,-1,runLog 569,,,,
570,9,11,-1,runLog 570,,,,
571,9,11,-1,runLog 571,,,,
572,10,12,-1,runLog 572,,,,
573,10,13,-1,runLog 573,,,,
574,11,14,-1,runLog 574,,,,
575,12,15,-1,runLog 575,,,,
576,13,16,-1,runLog 576,,,,
577,14,17,-1,runLog 577,,,,
578,12,15,-1,runLog 578,,,,
579,12,15,-1,,,,,
580,12,15,-1,,,,,
581,12,15,-1,,,,,
582,12,15,-1,,,,,
583,12,15,-1,,,,,
584,12,15,-1,,,,,
585,12,15,-1,,,,,
586,12,15,-1,,,,,
587,12,15,-1,elog7682,,,,
588,0,0,0,runLog 588,,,,
589,0,0,0,,,,,
590,0,0,0,,,,,
591,0,0,0,,,,,
592,0,0,0,,,,,
593,0,0,0,,,,,
594,0,0,0,,,,,
595,9,11,-1,runLog 595,,,,
596,9,11,-1,runLog 596,,,,
597,9,11,-1,runLog 597,,,,
598,9,11,-1,runLog 598,,,,
599,9,11,-1,runLog 599,,,,
600,9,11,-1,runLog 600,,,,
601,9,11,-1,runLog 601,,,,
602,9,11,-1,runLog 602,,,,
603,9,11,-1,runLog 603,,,,
604,9,11,-1,runLog 604,,,,
605,9,11,-1,runLog 605,,,,
606,9,11,-1,runLog 606,,,,
607,9,11,-1,runLog 607,,,,
608,9,11,-1,runLog 608,,,,
609,9,11,-1,runLog 609,,,,
610,9,11,-1,runLog 610,,,,
611,9,11,-1,runLog 611,,,,
612,9,11,-1,runLog 612,,,,
613,9,11,-1,runLog 613,,,,
614,9,11,-1,runLog 614,,,,
615,9,11,-1,runLog 615,,,,
616,9,11,-1,runLog 616,,,,
617,9,11,-1,runLog 617,,,,
618,9,11,-1,runLog 618,,,,
619,9,11,-1,runLog 619,,,,
620,9,11,-1,runLog 620,,,,
621,9,11,-1,runLog 621,,,,
622,9,11,-1,runLog 622,,,,
623,9,11,-1,runLog 623,,,,
624,9,11,-1,runLog 624,,,,
625,9,11,-1,runLog 625,,,,
626,9,11,-1,runLog 626,,,,
627,9,11,-1,runLog 627,,,,
628,9,11,-1,runLog 628,,,,
629,9,11,-1,runLog 629,,,,
630,9,11,-1,runLog 630,,,,
631,9,11,-1,runLog 631,,,,
632,9,11,-1,runLog 632,,,,
633,9,11,-1,runLog 633,,,,
634,9,11,-1,runLog 634,,,,
635,9,11,-1,runLog 635,,,,
636,9,11,-1,runLog 636,,,,
637,9,11,-1,runLog 637,,,,
638,9,11,-1,runLog 638,,,,
639,9,11,-1,runLog 639,,,,
640,9,11,-1,runLog 640,,,,
641,9,11,-1,runLog 641,,,,
642,12,15,-1,runLog 642,,,,
643,12,15,-1,runLog 643,,,,
644,12,15,-1,runLog 644,,,,
645,12,15,-1,runLog 645,,,,
646,12,15,-1,runLog 646,,,,
647,16,19,-1,runLog 647,,,,
648,16,19,-1,runLog 648,,,,
649,16,19,-1,runLog 649,,,,
650,16,19,-1,runLog 650,,,,
651,16,19,-1,runLog 651,,,,
652,12,15,-1,runLog 652,,,,
653,12,15,-1,runLog 653,,,,
654,12,15,-1,runLog 654,,,,
655,12,15,-1,runLog 655,,,,
656,12,15,-1,runLog 656,,,,
657,12,15,-1,runLog 657,,,,
658,12,15,-1,runLog 658,,,,
659,12,15,-1,runLog 659,,,,
660,12,15,-1,runLog 660,,,,
661,12,15,-1,runLog 661,,,,
662,12,15,-1,runLog 662,,,,
663,12,15,-1,runLog 663,,,,
664,12,15,-1,runLog 664,,,,
665,12,15,-1,runLog 665,,,,
666,12,15,-1,runLog 666,,,,
667,12,15,-1,runLog 667,,,,
668,12,15,-1,runLog 668,,,,
669,12,15,-1,runLog 669,,,,
670,12,15,-1,runLog 670,,,,
671,12,15,-1,runLog 671,,,,
672,12,15,-1,runLog 672,,,,
673,12,15,-1,runLog 673,,,,
674,12,15,-1,runLog 674,,,,
675,12,15,-1,runLog 675,,,,
676,6,8,-1,runLog 676,,,,
677,6,8,-1,runLog 677,,,,
678,6,8,-1,runLog 678,,,,
679,6,8,-1,runLog 679,,,,
680,6,8,-1,runLog 680,,,,
681,6,8,-1,runLog 681,,,,
682,6,8,-1,runLog 682,,,,
683,6,8,-1,runLog 683,,,,
684,6,8,-1,runLog 684,,,,
685,6,8,-1,runLog 685,,,,
686,6,8,-1,runLog 686,,,,
687,6,8,-1,runLog 687,,,,
688,6,8,-1,runLog 688,,,,
689,6,8,-1,runLog 689,,,,
690,6,8,-1,runLog 690,,,,
691,6,8,-1,runLog 691,,,,
692,6,8,-1,runLog 692,,,,
693,6,8,-1,runLog 693,,,,
694,6,8,-1,runLog 694,,,,
695,6,8,-1,runLog 695,,,,
696,6,8,-1,runLog 696,,,,
697,6,8,-1,runLog 697,,,,
698,13,16,-1,,,,,
699,13,16,-1,elog7784,,,,
700,12,15,-1,runLog 700,,,,
701,12,15,-1,,,,,
702,12,15,-1,,,,,
703,12,15,-1,,,,,
704,12,15,-1,,,,,
705,12,15,-1,,,,,
706,12,15,-1,,,,,
707,12,15,-1,,,,,
708,12,15,-1,,,,,
709,12,15,-1,,,,,
710,12,15,-1,,,,,
711,12,15,-1,,,,,
712,12,15,-1,,,,,
713,12,15,-1,,,,,
714,0,0,-1,elog7844,,,,
715,0,0,-1,,,,,
716,0,0,-1,,,,,
717,0,0,-1,,,,,
718,0,0,-1,,,,,
719,0,0,-1,,,,,
720,0,0,-1,,,,,
721,0,0,-1,,,,,
722,0,0,-1,,,,,
723,0,0,-1,,,,,
724,0,0,-1,,,,,
725,0,0,-1,,,,,
726,0,0,-1,,,,,
727,0,0,-1,,,,,
728,0,0,-1,,,,,
729,0,0,-1,,,,,
730,0,0,-1,,,,,
731,0,0,-1,,,,,
732,0,0,-1,,,,,
733,0,0,-1,,,,,
734,0,0,-1,,,,,
735,0,0,-1,,,,,
736,0,0,-1,,,,,
737,0,0,-1,,,,,
738,0,0,-1,,,,,
739,0,0,-1,,,,,
740,0,0,-1,,,,,
741,0,0,-1,,,,,
742,0,0,-1,,,,,
743,0,0,-1,,,,,
744,0,0,-1,,,,,
745,0,0,-1,,,,,
746,0,0,-1,runLog 746,,,,
747,0,0,-1,,,,,
748,0,0,-1,,,,,
749,0,0,-1,,,,,
750,0,0,-1,,,,,
751,0,0,-1,,,,,
752,0,0,-1,,,,,
753,0,0,-1,,,,,
754,0,0,-1,,,,,
755,0,0,-1,,,,,
756,0,0,-1,,,,,
757,0,0,-1,,,,,
758,0,0,-1,,,,,
759,0,0,-1,,,,,
760,0,0,-1,,,,,
761,12,15,-1,elog7916,,,,
762,12,15,-1,,,,,
763,12,15,-1,,,,,
764,12,15,-1,,,,,
765,12,15,-1,,,,,
766,12,15,-1,,,,,
767,12,15,-1,,,,,
768,12,15,-1,,,,,
769,12,15,-1,,,,,
770,12,15,-1,,,,,
771,12,15,-1,,,,,
772,12,15,-1,,,,,
773,12,15,-1,,,,,
774,12,15,-1,,,,,
775,12,15,-1,elog7933,,,,
776,12,15,-1,,,,,
777,12,15,-1,,,,,
778,12,15,-1,,,,,
779,12,15,-1,,,,,
780,12,15,-1,,,,,
781,12,15,-1,,,,,
782,12,15,-1,,,,,
783,12,15,-1,,,,,
784,12,15,-1,,,,,
785,12,15,-1,,,,,
786,12,15,-1,,,,,
787,12,15,-1,,,,,
788,12,15,-1,,,,,
789,12,15,-1,,,,,
790,12,15,-1,,,,,
791,12,15,-1,elog7948,,,,
792,12,15,-1,,,,,
793,12,15,-1,,,,,
794,12,15,-1,,,,,
795,12,15,-1,,,,,
796,12,15,-1,,,,,
797,12,15,-1,,,,,
798,12,15,-1,,,,,
799,12,15,-1,,,,,
800,12,15,-1,,,,,
801,12,15,-1,,,,,
802,12,15,-1,,,,,
803,12,15,-1,,,,,
804,12,15,-1,,,,,
805,12,15,-1,,,,,
806,12,15,-1,,,,,
807,12,15,-1,,,,,
808,12,15,-1,,,,,
809,12,15,-1,,,,,
810,12,15,-1,,,,,
811,12,15,-1,elog7986,,,,
812,5,10,-1,elog7988,,,,
813,8,13,-1,elog7989,,,,
814,11,16,-1,elog7991,,,,
815,14,19,-1,elog7992,,,,
816,13,18,-1,elog7994,,,,
817,14,19,-1,elog7996,,,,
818,15,20,-1,elog7997,,,,
819,16,21,-1,elog7999,,,,
820,16,21,-1,,,,,
821,17,22,-1,elog8004,,,,
822,12,15,-1,elog8005,,,,
823,12,15,-1,,,,,
824,12,15,-1,,,,,
825,12,15,-1,,,,,
826,12,15,-1,,,,,
827,12,15,-1,,,,,
828,12,15,-1,,,,,
