run,t0,t1,vSet1,vSet2,vSet3,vSetMin1,vSetMin2,vSetMin3,vSetMax1,vSetMax2,vSetMax3,td1,td2,td3,td,tdCalc1,tdCalc2,tdCalc3,tdCalc,vCalib1,vCalib2,vCalib3,vCalib
1553,6/27/17 19:15,6/27/17 19:16,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1554,6/27/17 19:18,6/27/17 19:19,0,0,0,0,0,0,0,0,0,0,1.29,0,1.29,20.53505896,0,0,20.53505896,0,0,0,0
1555,6/27/17 19:22,6/27/17 19:24,0,0,0,0,0,0,0,0,0,0,0.105,0,0.105,20.53505896,0,0,20.53505896,0,0,0,0
1556,6/27/17 19:26,6/27/17 19:36,0,0,0,0,0,0,0,0,0,0,0.548888889,0,0.548888889,20.53505896,0,0,20.53505896,0,0,0,0
1557,6/27/17 19:36,6/27/17 19:38,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1558,6/27/17 19:41,6/27/17 19:43,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,20.53505896,0,0,20.53505896,0,0,0,0
1559,6/27/17 19:44,6/27/17 19:45,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1560,6/27/17 19:47,6/27/17 19:54,0,0,0,0,0,0,0,0,0,0,0.305714286,0,0.305714286,20.53505896,0,0,20.53505896,0,0,0,0
1561,6/27/17 19:56,6/27/17 20:00,0,0,0,0,0,0,0,0,0,0,0.3225,0,0.3225,20.53505896,0,0,20.53505896,0,0,0,0
1562,6/27/17 20:00,6/27/17 20:03,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1563,6/27/17 20:04,6/27/17 20:06,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1564,6/27/17 20:06,6/27/17 20:07,0,0,0,0,0,0,0,0,0,0,0.86,0,0.86,20.53505896,0,0,20.53505896,0,0,0,0
1565,6/27/17 20:07,6/27/17 20:08,0,0,0,0,0,0,0,0,0,0,0.86,0,0.86,20.53505896,0,0,20.53505896,0,0,0,0
1566,6/27/17 20:08,6/27/17 20:09,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1567,6/27/17 20:10,6/27/17 20:10,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1568,6/27/17 20:11,6/27/17 20:12,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1569,6/27/17 20:12,6/27/17 20:13,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1570,6/27/17 20:13,6/27/17 20:14,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1571,6/27/17 20:15,6/27/17 20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53505896,0,0,20.53505896,0,0,0,0
1572,6/27/17 20:16,6/27/17 20:17,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,20.53505896,0,0,20.53505896,0,0,0,0
