runnum launchtime launch gpuCTag positrons calo12ratio
184 -1 -1 234 -1 0
185 -1 -1 216 -1 0
186 -1 -1 216 -1 0
187 -1 -1 216 -1 0
188 -1 -1 216 -1 0
189 -1 -1 216 -1 0
190 -1 -1 216 -1 0
191 -1 -1 216 -1 0
192 -1 -1 684 -1 0
193 -1 -1 648 -1 0
194 -1 -1 216 -1 0
195 -1 -1 2628 -1 0
196 -1 -1 2663 -1 0
197 -1 -1 2412 -1 0
198 -1 -1 2196 -1 0
199 -1 -1 648 -1 0
200 -1 -1 0 -1 -nan
201 -1 -1 234 -1 0
202 -1 -1 -1 -1 -1
203 -1 -1 -1 -1 -1
204 -1 -1 0 -1 -nan
205 -1 -1 216 -1 0
206 -1 -1 666 -1 0
207 -1 -1 432 -1 0
208 -1 -1 684 -1 0
209 -1 -1 684 -1 0
210 -1 -1 703 -1 0
211 -1 -1 684 -1 0
212 -1 -1 703 -1 0
213 -1 -1 1140 -1 0
214 -1 -1 1596 -1 0
215 -1 -1 1653 -1 0
216 -1 -1 1178 -1 0
217 -1 -1 1140 -1 0
218 -1 -1 192 -1 0
219 -1 -1 -1 -1 -1
220 -1 -1 168 -1 0
221 -1 -1 168 -1 0
222 -1 -1 3387 -1 0
223 -1 -1 2764 -1 0
224 -1 -1 360 -1 0
225 -1 -1 1494 -1 0
226 -1 -1 1332 -1 0
227 -1 -1 1604 -1 0
228 -1 -1 1720 -1 0
229 -1 -1 1712 -1 1.15
230 -1 -1 1575 -1 1.15
231 -1 -1 1071 -1 1.15
232 -1 -1 1764 -1 1.15
233 -1 -1 1008 -1 1.15
234 -1 -1 756 -1 1.15
235 -1 -1 1806 -1 1.15
236 -1 -1 -1 -1 -1
237 -1 -1 0 -1 -nan
238 -1 -1 1764 -1 1.15
239 -1 -1 -1 -1 -1
240 -1 -1 0 -1 -nan
241 -1 -1 777 -1 1.15
242 -1 -1 2121 -1 1.15
243 -1 -1 2016 -1 1.15
244 -1 -1 2037 -1 1.15
245 -1 -1 1029 -1 1.15
246 -1 -1 525 -1 1.15
247 -1 -1 252 -1 1.15
248 -1 -1 252 -1 1.15
249 -1 -1 252 -1 1.15
250 -1 -1 252 -1 1.15
251 -1 -1 252 -1 1.15
252 -1 -1 0 -1 1.15
